"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"10/10/2023","432.342.016","434.504.992","437.215.008","431.155.008","0,02K","-0,50%"
"09/10/2023","434.504.992","436.716.000","437.424.992","430.801.984","0,02K","-0,51%"
"08/10/2023","436.716.000","437.657.984","438.950.016","435.800.000","0,01K","-0,22%"
"07/10/2023","437.657.984","437.212.992","438.135.008","436.500.000","0,01K","0,10%"
"06/10/2023","437.215.008","429.566.016","440.000.000","427.000.000","0,02K","1,78%"
"05/10/2023","429.566.016","433.932.000","437.659.008","428.796.000","0,03K","-1,01%"
"04/10/2023","433.932.000","428.616.000","434.804.000","426.000.000","0,03K","1,24%"
"03/10/2023","428.616.000","428.631.008","432.324.000","425.900.992","0,02K","0,00%"
"02/10/2023","428.631.008","430.689.984","442.952.992","425.900.992","0,05K","-0,48%"
"01/10/2023","430.689.984","418.384.000","432.598.016","418.311.008","0,03K","2,94%"
"30/09/2023","418.384.000","416.387.008","419.000.000","416.000.000","0,01K","0,48%"
"29/09/2023","416.387.008","418.480.992","420.000.000","414.664.000","0,02K","-0,50%"
"28/09/2023","418.480.992","409.960.992","421.753.984","408.713.984","0,03K","2,13%"
"27/09/2023","409.750.016","405.982.016","415.000.000","405.947.008","0,02K","0,93%"
"26/09/2023","405.982.016","405.692.992","407.000.000","404.040.000","0,01K","0,07%"
"25/09/2023","405.692.992","404.995.008","406.545.984","400.660.000","0,02K","0,17%"
"24/09/2023","404.995.008","409.480.000","409.988.000","403.188.000","0,02K","-1,10%"
"23/09/2023","409.480.000","409.807.008","410.348.000","409.049.984","0,00K","-0,08%"
"22/09/2023","409.807.008","409.500.000","411.755.008","409.000.000","0,02K","0,07%"
"21/09/2023","409.500.000","417.159.008","418.000.000","407.499.008","0,02K","-1,84%"
"20/09/2023","417.159.008","417.398.016","420.980.000","414.003.008","0,01K","-0,06%"
"19/09/2023","417.398.016","411.408.992","421.000.000","410.220.992","0,02K","1,46%"
"18/09/2023","411.408.992","407.147.008","420.000.000","406.107.008","0,03K","1,05%"
"17/09/2023","407.147.008","407.959.008","408.934.016","407.137.984","0,01K","-0,20%"
"16/09/2023","407.959.008","408.788.000","409.000.000","406.839.008","0,01K","-0,20%"
"15/09/2023","408.788.000","408.591.008","411.000.000","403.860.000","0,02K","0,05%"
"14/09/2023","408.591.008","403.224.000","411.000.000","401.840.992","0,02K","1,33%"
"13/09/2023","403.224.000","397.121.984","404.352.992","396.520.992","0,02K","1,54%"
"12/09/2023","397.121.984","388.887.008","405.268.992","388.248.000","0,02K","2,12%"
"11/09/2023","388.887.008","397.008.000","398.140.992","386.000.000","0,03K","-2,05%"
"10/09/2023","397.008.000","398.020.992","398.800.000","395.944.992","0,01K","-0,25%"
"09/09/2023","398.020.992","398.384.992","398.510.016","397.174.016","0,01K","-0,09%"
"08/09/2023","398.384.992","401.612.992","404.328.992","396.112.992","0,01K","-0,80%"
"07/09/2023","401.612.992","394.767.008","404.992.992","394.000.000","0,02K","1,73%"
"06/09/2023","394.767.008","394.100.000","398.227.008","391.307.008","0,02K","0,17%"
"05/09/2023","394.100.000","395.508.992","395.684.992","392.544.992","0,01K","-0,36%"
"04/09/2023","395.508.992","398.958.016","398.958.016","394.511.008","0,02K","-0,86%"
"03/09/2023","398.958.016","396.700.000","399.468.000","396.548.992","0,01K","0,58%"
"02/09/2023","396.648.992","394.988.992","397.868.992","394.297.984","0,01K","0,42%"
"01/09/2023","394.988.992","398.100.992","399.900.000","390.028.992","0,03K","-0,76%"
"31/08/2023","398.000.000","415.400.000","419.564.992","395.000.000","0,03K","-4,19%"
"30/08/2023","415.400.000","420.870.016","421.212.000","413.432.000","0,02K","-1,30%"
"29/08/2023","420.871.008","398.820.000","427.000.000","396.332.992","0,03K","5,53%"
"28/08/2023","398.820.000","400.000.000","400.972.992","396.816.992","0,02K","-0,30%"
"27/08/2023","400.000.000","399.727.008","400.500.000","399.673.984","0,01K","0,07%"
"26/08/2023","399.727.008","399.460.992","400.977.984","399.460.992","0,01K","0,07%"
"25/08/2023","399.457.984","399.990.016","401.750.016","397.084.992","0,01K","-0,13%"
"24/08/2023","399.990.016","405.008.992","406.446.016","397.500.000","0,02K","-1,24%"
"23/08/2023","405.008.992","399.868.000","409.500.000","396.819.008","0,03K","1,29%"
"22/08/2023","399.868.000","401.942.016","401.964.000","392.000.000","0,02K","-0,52%"
"21/08/2023","401.942.016","403.136.992","403.137.984","398.651.008","0,03K","-0,30%"
"20/08/2023","403.136.992","401.607.008","403.200.992","401.600.000","0,01K","0,38%"
"19/08/2023","401.607.008","401.848.000","404.296.992","399.000.000","0,02K","-0,06%"
"18/08/2023","401.848.000","420.039.008","420.798.016","397.696.992","0,09K","-4,33%"
"17/08/2023","420.040.000","442.137.984","442.137.984","420.000.000","0,06K","-5,00%"
"16/08/2023","442.137.984","446.859.008","447.937.984","442.137.984","0,02K","-1,06%"
"15/08/2023","446.859.008","449.000.000","450.159.008","446.049.984","0,02K","-0,48%"
"14/08/2023","449.000.000","445.345.984","451.000.000","442.000.000","0,02K","0,82%"
"13/08/2023","445.345.984","445.244.000","446.500.000","442.775.008","0,01K","0,02%"
"12/08/2023","445.244.000","446.551.008","447.192.000","444.499.008","0,01K","-0,29%"
"11/08/2023","446.551.008","445.871.008","447.700.000","444.740.992","0,01K","0,15%"
"10/08/2023","445.871.008","448.251.008","449.308.992","443.700.992","0,01K","-0,53%"
"09/08/2023","448.251.008","450.780.000","455.299.008","446.547.008","0,02K","-0,56%"
"08/08/2023","450.780.000","442.561.984","455.489.984","442.561.984","0,02K","1,86%"
"07/08/2023","442.561.984","440.449.984","442.700.000","436.200.992","0,02K","0,48%"
"06/08/2023","440.449.984","440.651.008","441.484.000","440.000.992","0,01K","-0,05%"
"05/08/2023","440.651.008","441.552.992","441.836.000","440.000.000","0,01K","-0,20%"
"04/08/2023","441.552.992","443.100.992","443.494.016","439.048.000","0,01K","-0,35%"
"03/08/2023","443.100.992","442.011.008","443.967.008","438.671.008","0,02K","0,25%"
"02/08/2023","442.011.008","445.800.000","450.448.000","440.000.000","0,02K","-0,85%"
"01/08/2023","445.800.000","440.576.992","445.800.000","433.783.008","0,02K","1,19%"
"31/07/2023","440.576.992","441.110.016","443.428.000","439.759.008","0,01K","-0,12%"
"30/07/2023","441.110.016","442.545.984","442.948.992","439.300.000","0,01K","-0,32%"
"29/07/2023","442.545.984","441.864.000","442.727.008","441.289.984","0,01K","0,15%"
"28/07/2023","441.864.000","439.183.008","443.648.992","438.489.984","0,02K","0,61%"
"27/07/2023","439.183.008","440.012.992","441.480.992","438.424.000","0,01K","-0,19%"
"26/07/2023","440.012.992","438.500.992","443.775.008","436.798.016","0,02K","0,34%"
"25/07/2023","438.500.992","439.955.008","439.956.000","437.528.000","0,01K","-0,33%"
"24/07/2023","439.956.992","450.940.000","452.000.000","436.000.000","0,03K","-2,44%"
"23/07/2023","450.940.000","448.239.008","453.755.008","448.200.000","0,01K","0,60%"
"22/07/2023","448.239.008","448.336.000","449.940.000","447.000.000","0,01K","-0,02%"
"21/07/2023","448.336.000","448.280.000","449.396.000","446.774.016","0,01K","0,01%"
"20/07/2023","448.280.000","450.647.008","454.318.016","445.500.000","0,02K","-0,53%"
"19/07/2023","450.647.008","448.404.992","453.000.000","448.404.992","0,01K","0,50%"
"18/07/2023","448.404.992","454.072.992","454.316.000","447.000.000","0,02K","-1,25%"
"17/07/2023","454.072.992","454.799.008","456.587.008","449.716.992","0,03K","-0,16%"
"16/07/2023","454.799.008","456.588.000","457.220.000","454.008.000","0,01K","-0,39%"
"15/07/2023","456.588.000","456.534.016","458.000.000","455.500.000","0,01K","0,01%"
"14/07/2023","456.534.016","465.608.000","469.500.992","451.000.000","0,05K","-1,95%"
"13/07/2023","465.608.000","456.704.000","470.000.000","455.177.984","0,03K","1,95%"
"12/07/2023","456.704.000","461.662.016","463.871.008","454.670.016","0,02K","-1,07%"
"11/07/2023","461.662.016","459.825.984","464.086.016","459.464.000","0,01K","0,40%"
